date,BTC,IHSG,emas_buy,emas_sell
01/07/23,459585000,6699.716796875,949000,1049000
02/07/23,460469000,6713.794921875,949000,1049000
03/07/23,465123000,6698.546875,949000,1049000
04/07/23,463010000,6686.05908203125,954000,1054000
05/07/23,456966000,6660.455078125,958000,1058000
06/07/23,460001000,6702.625,953000,1053000
07/07/23,459839000,6652.26123046875,950000,1050000
08/07/23,457632000,6639.73291015625,959000,1059000
09/07/23,458996000,6664.66796875,959000,1059000
10/07/23,459500000,6661.87890625,959000,1059000
11/07/23,462426000,6696.7158203125,964000,1064000
12/07/23,457604000,6681.75390625,979000,1071000
13/07/23,460360000,6718.97705078125,982000,1082000
14/07/23,465035000,6757.3310546875,980000,1080000
15/07/23,456101000,6716.458984375,980000,1080000
16/07/23,457220000,6731.0380859375,974000,1074000
17/07/23,453261000,6796.923828125,973000,1073000
18/07/23,447000000,6808.208984375,972000,1072000
19/07/23,450287000,6810.212890625,958000,1058000
20/07/23,447673000,6869.57177734375,958000,1058000
21/07/23,448047000,6867.14404296875,950000,1050000
22/07/23,448860000,6830.203125,958000,1058000
23/07/23,449512000,6864.18896484375,958000,1058000
24/07/23,438002000,6880.8017578125,958000,1058000
25/07/23,438524000,6899.39599609375,964000,1064000
26/07/23,439532000,6917.7109375,958000,1058000
27/07/23,440356000,6948.27880859375,982000,1082000
28/07/23,442424000,6896.6630859375,982000,1082000
29/07/23,441698000,6900.22998046875,972000,1072000
30/07/23,442346000,6931.35888671875,970000,1070000