date,price,asset
01/07/23,459585000,bitcoin
02/07/23,460469000,bitcoin
03/07/23,465123000,bitcoin
04/07/23,463010000,bitcoin
05/07/23,456966000,bitcoin
06/07/23,460001000,bitcoin
07/07/23,459839000,bitcoin
08/07/23,457632000,bitcoin
09/07/23,458996000,bitcoin
10/07/23,459500000,bitcoin
11/07/23,462426000,bitcoin
12/07/23,457604000,bitcoin
13/07/23,460360000,bitcoin
14/07/23,465035000,bitcoin
15/07/23,456101000,bitcoin
16/07/23,457220000,bitcoin
17/07/23,453261000,bitcoin
18/07/23,447000000,bitcoin
19/07/23,450287000,bitcoin
20/07/23,447673000,bitcoin
21/07/23,448047000,bitcoin
22/07/23,448860000,bitcoin
23/07/23,449512000,bitcoin
24/07/23,438002000,bitcoin
25/07/23,438524000,bitcoin
26/07/23,439532000,bitcoin
27/07/23,440356000,bitcoin
28/07/23,442424000,bitcoin
29/07/23,441698000,bitcoin
30/07/23,442346000,bitcoin
01/07/23,6699.716796875,ihsg
02/07/23,6713.794921875,ihsg
03/07/23,6698.546875,ihsg
04/07/23,6686.05908203125,ihsg
05/07/23,6660.455078125,ihsg
06/07/23,6702.625,ihsg
07/07/23,6652.26123046875,ihsg
08/07/23,6639.73291015625,ihsg
09/07/23,6664.66796875,ihsg
10/07/23,6661.87890625,ihsg
11/07/23,6696.7158203125,ihsg
12/07/23,6681.75390625,ihsg
13/07/23,6718.97705078125,ihsg
14/07/23,6757.3310546875,ihsg
15/07/23,6716.458984375,ihsg
16/07/23,6731.0380859375,ihsg
17/07/23,6796.923828125,ihsg
18/07/23,6808.208984375,ihsg
19/07/23,6810.212890625,ihsg
20/07/23,6869.57177734375,ihsg
21/07/23,6867.14404296875,ihsg
22/07/23,6830.203125,ihsg
23/07/23,6864.18896484375,ihsg
24/07/23,6880.8017578125,ihsg
25/07/23,6899.39599609375,ihsg
26/07/23,6917.7109375,ihsg
27/07/23,6948.27880859375,ihsg
28/07/23,6896.6630859375,ihsg
29/07/23,6900.22998046875,ihsg
30/07/23,6931.35888671875,ihsg
01/07/23,1049000,gold
02/07/23,1049000,gold
03/07/23,1049000,gold
04/07/23,1054000,gold
05/07/23,1058000,gold
06/07/23,1053000,gold
07/07/23,1050000,gold
08/07/23,1059000,gold
09/07/23,1059000,gold
10/07/23,1059000,gold
11/07/23,1064000,gold
12/07/23,1071000,gold
13/07/23,1082000,gold
14/07/23,1080000,gold
15/07/23,1080000,gold
16/07/23,1074000,gold
17/07/23,1073000,gold
18/07/23,1072000,gold
19/07/23,1058000,gold
20/07/23,1058000,gold
21/07/23,1050000,gold
22/07/23,1058000,gold
23/07/23,1058000,gold
24/07/23,1058000,gold
25/07/23,1064000,gold
26/07/23,1058000,gold
27/07/23,1082000,gold
28/07/23,1082000,gold
29/07/23,1072000,gold
30/07/23,1070000,gold